hypothesis,support,oppose,missing,verdict
simulation_count_insufficient,8192 single-member KS worse than 32k members (confounded),32k individual members already much better joint KS than ensemble,fixed K=5 architecture aggregation scale sweep,evidence_insufficient_confounded
equal_weight_ensemble_changes_joint_geometry,"ensemble KS >> members; matched-subset geometry available: {'8d': {'n_cases': 48, 'not_selected_by_joint_ks': True, 'pairwise_mahal_mean_median': 0.48906619124120077, 'pairwise_mahal_mean_q25': 0.41737930010164964, 'pairwise_mahal_mean_q75': 0.5527178093452748, 'role': 'global_geometry_attribution_subset', 'trace_between_fraction_median': 0.008022701271286322, 'trace_between_fraction_q25': 0.004918198853410649, 'trace_between_fraction_q75': 0.010885732295445712, 'track': '8d'}, '7d': {'n_cases': 48, 'not_selected_by_joint_ks': True, 'pairwise_mahal_mean_median': 0.5441549309267402, 'pairwise_mahal_mean_q25': 0.43965669585224404, 'pairwise_mahal_mean_q75': 0.6105894283244828, 'role': 'global_geometry_attribution_subset', 'trace_between_fraction_median': 0.009688166831123597, 'trace_between_fraction_q25': 0.00581025607344807, 'trace_between_fraction_q75': 0.016362233341289858, 'track': '7d'}}",,aggregation interventions on sealed bank,supported_associational
marginal_variance_inflation_causes_joint_failure,,location/scale proxy and primary illustrative f_between often small; ensemble vs member median_normalized_posterior_sd similar in global_summary,none for rejection at marginal level,not_supported_as_sole_explanation
few_bad_members_drive_ensemble_degradation,8d mui member_5 rank_mean polarity opposite to members 1-4,mui/mue/tauA Holm issues on all members; all L-C2ST reject,sealed-bank robust aggregation study,partial_for_local_polarity_not_global
all_estimators_share_calibration_failure,focused SBC holm issues all members=True; L-C2ST all reject,PPC ensemble predictive improvement exists (calibration != prediction),architecture/summary/boundary probes,supported_for_sbc_lc2st
correlation_copula_mismatch,matched-subset corr_diff metrics recorded,,targeted dependence diagnostics,candidate_unverified
posterior_mode_overlap_insufficient,pairwise Mahalanobis distances on matched subset,,explicit mode-finding,candidate_unverified
c_ctx2th_is_primary_failure_cause,,7d replicates ensemble degradation and SBC issues without free c_ctx2th,,not_supported
mui_boundary_or_recovery_bias,focused table: rank stratification and boundary proximity fields,high contraction alone does not establish classical overconfidence,summary sensitivity ablation,open_needs_followup
mui_summary_sensitivity_insufficient,,,summary ablation experiments,evidence_insufficient
log_prob_or_joint_rank_implementation_issue,,,controlled log_prob / rank protocol audit,unverified
7d_vs_8d_dimension_is_primary_cause,,failure pattern replicates across tracks,,not_supported
member_ppc_predictive_adequacy_without_calibration,"Phase2 PPC: all_members_14_of_14=False; improvement median=0.607 range=[0.533,0.643]; PPC does not validate calibration.",SBC/L-C2ST/joint coverage failures remain on members and ensemble,,supported_predictive_not_calibrated
member_ppc_predictive_adequacy_without_calibration,"Phase2 PPC: all_members_14_of_14=False; improvement median=0.607 range=[0.533,0.643]; PPC does not validate calibration.",SBC/L-C2ST/joint coverage failures remain on members and ensemble,,supported_predictive_not_calibrated
